re_energy_con,CO2_em_pc,CO2_em_ppp,access_elec,access_clean_fuels
17.96,0.165454682,0.078417169,96.61613464,30.9
38.11,1.782738948,0.132072384,100.0,79.8
0.19,3.948290258,0.328859478,99.69783783,99.6
0.49,,,,
18.58,6.532201212,,100.0,100.0
57.36,0.766143022,0.108781955,45.29000092,49.1
0.9,5.566105586,0.246147556,100.0,100.0
10.52,3.975771971,0.170702302,99.98957825,99.8
11.13,2.013003806,0.148588237,99.90000153,98.0
8.02,,,100.0,
9.67,15.50348628,0.308877721,100.0,100.0
34.11,7.133063919,0.125229152,100.0,100.0
1.93,3.292832354,0.226326094,100.0,96.6
1.02,6.966803064,0.19588957,100.0,100.0
0.0,20.71483283,0.413413717,100.0,100.0
26.88,0.509823919,0.097166256,91.80000305,21.9
5.79,4.433511661,0.27056389,100.0,100.0
7.22,6.245507315,0.321469267,100.0,99.5
10.66,8.196338589,0.156016034,100.0,100.0
34.64,1.648929754,0.183036737,91.72000122,82.4
43.97,0.621404996,0.199629114,39.24691772,4.2
0.67,,,100.0,
82.22,1.377779115,0.119784414,99.97436523,78.3
7.37,2.00139482,0.230879897,92.80000305,85.0
35.4,6.646806748,0.455753006,100.0,44.7
25.76,2.981958516,0.194650823,68.22926331,63.8
46.95,2.064980862,0.137951827,99.69999695,95.8
1.26,,,100.0,
0.01,17.36231034,0.284277203,100.0,100.0
19.6,5.82203361,0.252955193,100.0,
66.97,0.229003261,0.109037632,14.39999962,9.5
85.58,0.060034078,0.079186255,10.88490868,0.2
22.93,1.067923457,0.159616229,90.41175079,78.9
56.38,0.909814876,0.210684242,81.07565308,28.9
79.25,0.382426004,0.100067743,62.20000076,22.1
21.99,15.65057904,0.313056897,100.0,100.0
0.01,,,100.0,
91.42,0.045144246,0.051589586,14.84237576,0.7
77.7,0.140346743,0.087667557,10.11404037,5.5
,,,100.0,
25.46,4.631191732,0.181156881,100.0,100.0
13.71,7.487331894,0.483192443,100.0,75.6
30.72,1.594862888,0.105192892,98.5,92.0
55.01,0.386442082,0.114550712,81.85890961,7.3
96.38,0.035826095,0.033379723,18.56829071,3.6
69.34,1.192781808,0.307666203,47.41667557,31.05
35.7,1.66047244,0.078530092,99.69999695,95.3
62.99,0.399702062,0.078869965,67.14739227,28.4
32.83,4.019234669,0.139028591,100.0,100.0
24.11,2.357823427,,99.52120972,93.5
3.02,,,100.0,
12.11,5.907299543,0.203439123,100.0,100.0
14.72,9.492068199,0.230751293,100.0,100.0
34.67,5.718343553,0.099478929,100.0,100.0
27.84,0.378358648,0.080518645,60.5641861,9.3
8.3,2.400350194,0.197846562,100.0,89.1
15.95,2.35102193,0.131328659,98.90000153,90.4
16.33,2.359001713,0.198473181,98.69999695,94.5
5.23,2.389706724,0.216431753,100.0,99.9
23.21,1.085026906,0.120254896,97.0,89.4
4.91,4.280699257,0.235340624,66.45285797,24.1
74.03,0.246707621,,49.7033844,9.1
28.59,11.58870366,0.319694037,100.0,100.0
66.07,0.784193441,0.091801068,73.91577911,52.4
89.42,0.15513441,0.07328556,44.94060135,6.2
5.86,,,100.0,
25.8,1.773674744,0.130138113,99.37250519,46.7
44.17,8.082639791,0.163020192,100.0,100.0
15.21,4.572030089,0.098244053,100.0,100.0
7.72,,,100.0,
90.13,2.335753584,0.160037904,89.8815155,87.4
49.01,0.224956609,0.109166637,60.29999924,1.8
27.94,2.568059536,0.175967714,99.90000153,85.8
16.12,8.536196091,0.154542219,100.0,100.0
41.48,0.605105683,0.115308912,80.40000153,22.2
0.0,,,100.0,
17.86,6.0580184,0.204541521,100.0,100.0
13.49,,,100.0,
10.69,2.626438327,0.166549926,92.30000305,89.9
3.04,,,100.0,
64.12,1.120698338,0.129240115,94.42923737,46.95
69.88,0.298689018,0.118023044,45.0,1.4
86.59,0.166237649,0.087672151,28.49505615,1.2
16.81,3.297204014,0.260240363,91.19837952,77.9
76.25,0.298753559,0.091263667,44.96234512,4.3
49.76,1.026258974,0.180231303,91.59999847,47.2
0.23,,,100.0,
13.58,4.746529359,0.148733063,100.0,100.0
80.71,4.819673475,0.084243383,100.0,100.0
32.82,1.791032878,0.271783961,95.69999695,59.8
21.05,2.160470329,0.185134762,98.51000214,78.7
1.0,7.445084604,0.497053622,100.0,96.5
0.49,4.019393455,0.392755453,99.90000153,98.8
10.78,7.737323783,0.091505715,100.0,100.0
2.04,,,100.0,
3.75,6.87621041,0.172309651,100.0,100.0
17.08,5.37687093,0.124938202,100.0,100.0
8.88,3.062057218,0.294329384,98.48712158,83.9
7.22,8.801681435,0.208984289,100.0,100.0
7.2,2.369055498,0.24140825,99.90000153,99.9
1.88,11.8513159,0.453125455,100.0,92.9
72.47,0.350126986,0.076589449,61.2845726,16.0
41.03,0.736130112,0.353515376,88.10316467,8.2
13.19,1.970891065,,47.63095474,10.3
3.18,12.22524582,0.284015495,100.0,100.0
27.0,,,,
0.03,21.16888653,0.422429293,100.0,100.0
23.21,1.779275005,0.338536588,100.0,76.9
50.22,2.724839446,0.352656207,97.79715729,7.2
40.97,4.042188179,0.130912417,100.0,100.0
4.75,4.66992989,0.253796859,99.69999695,
40.22,0.332117549,0.127631077,47.0,38.7
87.06,0.231112626,0.148330934,22.87913322,0.4
2.75,8.740631096,0.331725839,67.0,
56.81,3.666745255,,100.0,
